goos: linux
goarch: amd64
pkg: route256/cart/internal/app/services
cpu: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10203033 ns/op	     169 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10200239 ns/op	     169 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10256390 ns/op	     169 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10199604 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10204627 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10206254 ns/op	     334 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10201885 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10201036 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10210013 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_1_items-8         	     100	  10207458 ns/op	     168 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20373772 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20390643 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20371482 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20388491 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20369520 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      58	  20375766 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      57	  20400142 ns/op	     201 B/op	       5 allocs/op
BenchmarkCart_GetItemsByUserId/Get_Cart_List_With_2_items-8         	      57	  20406803 ns/op	     201 B/op	       5 allocs/op
